ФИО клиента,Дата рождения,Номер счета,Баланс счета,Валюта,идентификатор транзакции,Тип операции,сумма,Дата транзакции
Кондратьева Фаина Матвеевна,11.10.1999,98924773003575881901,"3471,85",RUB,TXN-000001,списание,"1441,1",09.03.2025
Савина Дарья Феликсовна,04.10.1981,01594841938006291821,"126446,17",RUB,TXN-000002,списание,"17997,2",15.09.2024
Александров Вячеслав Давыдович,07.10.2000,25124009860727406455,"529216,44",RUB,TXN-000003,пополнение,"38908,62",08.10.2024
Мишина Ирина Николаевна,24.04.2004,35272125170619511971,"175614,23",RUB,TXN-000004,пополнение,"34392,99",09.05.2025
Юлия Афанасьевна Киселева,05.04.1935,65010899861530041303,"137024,68",RUB,TXN-000005,пополнение,"31818,04",04.02.2025
Лукин Вениамин Антипович,09.08.2007,71504690165291932671,"513979,29",RUB,TXN-000006,пополнение,"20518,21",20.04.2025
Марфа Феликсовна Цветкова,20.05.1999,09389550915123483892,"272872,76",RUB,TXN-000007,списание,"22264,78",21.07.2024
Фаина Робертовна Елисеева,21.03.1985,27496337711220257954,"379752,42",RUB,TXN-000008,списание,"14766,45",01.07.2024
Савельев Фока Елизарович,22.09.1958,21249589365197667007,"87830,47",RUB,TXN-000009,списание,"42604,34",18.01.2024
Мартынов Никифор Ефимович,01.09.2005,02565552571400423200,"530430,36",RUB,TXN-000010,пополнение,"33149,66",29.07.2023
Петухова Ульяна Вениаминовна,19.01.1958,46293989901421092000,"179736,11",RUB,TXN-000011,пополнение,"22952,36",15.10.2024
Александров Вячеслав Давыдович,07.10.2000,98996069459646827161,"369941,55",USD,TXN-000012,списание,"2845,66",24.02.2025
Милан Артёмович Емельянов,24.10.1935,52372950677290858600,"449088,64",USD,TXN-000013,пополнение,"1310,94",19.04.2024
Глеб Георгиевич Жуков,14.08.1944,14532615353338622553,"380980,67",RUB,TXN-000014,пополнение,"44461,13",12.05.2024
Сила Ильясович Кондратьев,29.10.1958,95778719091129610582,"505346,71",RUB,TXN-000015,пополнение,"35751,54",12.07.2025
Буров Ян Владиславович,07.07.1951,60529691130286631352,"487200,56",RUB,TXN-000016,пополнение,"11719,64",09.07.2024
Буров Ян Владиславович,07.07.1951,14533313050950597113,"317821,04",RUB,TXN-000017,списание,"6318,21",03.08.2025
Волкова Марфа Богдановна,17.10.1963,74376103712002420079,"117115,07",RUB,TXN-000018,пополнение,"12979,57",13.01.2025
Терентий Федотович Авдеев,21.05.2001,61510611446072383946,"336343,12",RUB,TXN-000019,пополнение,"22808,27",05.05.2023
Михайлова Октябрина Харитоновна,19.02.1959,70843551760453130611,"206233,67",RUB,TXN-000020,пополнение,"15159,82",20.03.2025
Михайлов Болеслав Федосеевич,08.11.1943,69286010886924368178,"420796,92",RUB,TXN-000021,пополнение,"21988,59",04.06.2023
Ермил Иларионович Борисов,29.08.1945,58586817713633595928,"115191,47",RUB,TXN-000022,пополнение,"32355,73",18.04.2023
Прохорова Александра Николаевна,25.10.1972,41322151774963019930,"288130,12",RUB,TXN-000023,списание,"12665,16",16.02.2023
Фёкла Ефимовна Шарапова,28.12.1982,91945831421091572881,"268963,87",RUB,TXN-000024,пополнение,"4164,22",07.02.2025
Игнатьева Ксения Болеславовна,25.08.1969,16048661727296135848,"425642,41",RUB,TXN-000025,пополнение,"27316,85",25.08.2023
Лазарева София Сергеевна,04.08.2000,31302989452475318003,"518149,87",RUB,TXN-000026,пополнение,"49952,57",30.09.2022
Ия Аркадьевна Одинцова,21.05.1977,06140210640542698881,"143300,81",RUB,TXN-000027,пополнение,"5305,22",01.05.2024
Аскольд Арсеньевич Воронов,01.06.1989,71765069680188553342,"62944,06",USD,TXN-000028,пополнение,"2625,74",09.06.2023
Лазарева София Сергеевна,04.08.2000,96653853232141525980,"381898,14",RUB,TXN-000029,пополнение,"45542,18",07.10.2024
Баранова Анна Олеговна,26.03.1994,80236931652554390951,"310204,43",USD,TXN-000030,списание,"4142,65",12.11.2022
Овчинников Филипп Чеславович,15.07.1998,79911451469976784493,"327984,75",RUB,TXN-000031,пополнение,"15855,6",17.09.2021
Денис Димитриевич Лазарев,01.02.1983,80742668620727740969,"405956,01",RUB,TXN-000032,пополнение,"44980,68",16.03.2023
Сафонова Варвара Харитоновна,06.02.1983,92202342542557103692,"473983,94",USD,TXN-000033,пополнение,"4715,48",22.04.2025
Аполлон Феодосьевич Красильников,04.01.1974,48585148760366575923,"289499,42",USD,TXN-000034,списание,"2275,09",03.08.2022
Харитонова Дарья Вячеславовна,05.12.1990,72102115015230766299,"485640,2",RUB,TXN-000035,пополнение,"36822,43",22.07.2022
Павел Ануфриевич Дементьев,13.02.2007,11539222576339108178,"292637,93",EUR,TXN-000036,пополнение,"1711,4",06.12.2024
Виктория Романовна Суворова,08.04.1963,62586253289101690568,"461789,02",RUB,TXN-000037,пополнение,"39475,9",24.04.2025
Зиновьева Валерия Юльевна,02.06.1937,04985001820465044524,"292856,64",EUR,TXN-000038,списание,"132,98",09.01.2024
Конон Эдуардович Егоров,06.04.1956,92770917077135877681,"91323,79",EUR,TXN-000039,списание,"4183,53",30.06.2025
Петр Фадеевич Петров,17.02.2005,98136102375181436749,"274981,58",RUB,TXN-000040,пополнение,"1180,11",14.02.2025
Зуева Виктория Кузьминична,14.04.1972,60029331023279016372,"321039,53",RUB,TXN-000041,списание,"32350,87",21.05.2025
Леонтий Вячеславович Морозов,21.09.1950,24877776777960334953,"101319,67",RUB,TXN-000042,пополнение,"27005,63",04.01.2022
Прохорова Прасковья Руслановна,24.12.1998,77665585114312675407,"268743,76",RUB,TXN-000043,списание,"37614,55",01.12.2024
Суханова Евпраксия Львовна,20.07.1945,48323452134327931103,"413581,67",USD,TXN-000044,пополнение,"1817,84",15.02.2024
Доронин Мариан Феофанович,31.07.2005,49355113086622022332,"231876,2",RUB,TXN-000045,пополнение,"29675,53",29.05.2025
Анжелика Владиславовна Стрелкова,27.03.2006,36247923860338585544,"293218,24",USD,TXN-000046,списание,"2323,47",06.02.2024
Шашкова Анжелика Николаевна,20.01.1958,24447885583530695866,"127583,09",RUB,TXN-000047,списание,"32090,2",27.05.2025
Васильев Юрий Фомич,08.10.1942,16445857683165088124,"52086,97",RUB,TXN-000048,пополнение,"46580,8",26.07.2025
Константинова Синклитикия Геннадьевна,15.02.1936,65854960628584636067,"428310,79",USD,TXN-000049,списание,"3312,44",26.05.2025
